match_id,member,pick,computed_at
4,davo,1-1,2026-06-12T22:18:11.388981+00:00
4,maldini,1-1,2026-06-12T22:18:11.388981+00:00
4,experts,1-1,2026-06-12T22:18:11.388981+00:00
4,market,1-0,2026-06-12T22:18:11.388981+00:00
4,blend,1-0,2026-06-12T22:18:11.388981+00:00
8,davo,0-3,2026-06-12T22:18:11.388981+00:00
8,maldini,0-3,2026-06-12T22:18:11.388981+00:00
8,experts,0-3,2026-06-12T22:18:11.388981+00:00
8,market,0-2,2026-06-12T22:18:11.388981+00:00
8,blend,0-2,2026-06-12T22:18:11.388981+00:00
7,davo,1-2,2026-06-12T22:18:11.388981+00:00
7,maldini,1-1,2026-06-12T22:18:11.388981+00:00
7,experts,1-2,2026-06-12T22:18:11.388981+00:00
7,market,1-0,2026-06-12T22:18:11.388981+00:00
7,blend,1-0,2026-06-12T22:18:11.388981+00:00
5,davo,0-1,2026-06-12T22:18:11.388981+00:00
5,maldini,0-3,2026-06-12T22:18:11.388981+00:00
5,experts,0-1,2026-06-12T22:18:11.388981+00:00
5,market,0-1,2026-06-12T22:18:11.388981+00:00
5,blend,0-1,2026-06-12T22:18:11.388981+00:00
6,davo,0-3,2026-06-12T22:18:11.388981+00:00
6,maldini,0-2,2026-06-12T22:18:11.388981+00:00
6,experts,0-2,2026-06-12T22:18:11.388981+00:00
6,market,0-1,2026-06-12T22:18:11.388981+00:00
6,blend,0-2,2026-06-12T22:18:11.388981+00:00
10,davo,5-0,2026-06-12T22:18:11.388981+00:00
10,maldini,5-0,2026-06-12T22:18:11.388981+00:00
10,experts,5-0,2026-06-12T22:18:11.388981+00:00
10,market,3-0,2026-06-12T22:18:11.388981+00:00
10,blend,4-0,2026-06-12T22:18:11.388981+00:00
11,davo,1-2,2026-06-12T22:18:11.388981+00:00
11,maldini,1-2,2026-06-12T22:18:11.388981+00:00
11,experts,1-2,2026-06-12T22:18:11.388981+00:00
11,market,1-0,2026-06-12T22:18:11.388981+00:00
11,blend,2-1,2026-06-12T22:18:11.388981+00:00
